"StockCode","UPC","CollectionID","ManufacturerID","ManufacturerDescription","BasicDescription","Description","ProductDetails","Brand","ProductLine","ItemName","Flavor","Title","LabeledAsGlutenFree","SupplierNumber","SupplierName","PrimaryCategory","GeneralCategory","WholeSalePrice","SuggestedRetailPrice","MAPPrice","ListDate","Discontinued","ChltQtyOnHand","FreQtyOnHand","MesqQtyOnHand","StrQtyOnHand","WindsorQtyOnHand","OrlQtyOnHand","SeaTacQtyOnHand","MfgAddress","Copyright","ItemSize","ItemMeasure","Height","Width","Depth","Mass","ExtendedSize","CaseQty","Directions","Ingredients","Warnings","PostDate","SupplierWebAddress","ThumbNailURL","ImageURL","LogoURL","Image500URL","ImageName","Image100URL"
"010030","705077002123","1000218","MP","MULTIPRO 32X 100CAPS","MULTIPRO 32X 100CAPS","Multi Pro-32X, 100 Caplets","The Serious Athlete's Multi-Vitamin Multi-Mineral.","AST Sports Science","","Multi Pro-32X","","AST Sports Science Multi Pro-32X","0","1","AST SPORTS SCIENCE","Vitamins / Minerals","Supplements","16.79","27.99","","2001-08-25","","Yes","Yes","Yes","Yes","Yes","Yes","No","P.O. Box 4327 Evergreen, CO 80437","2000 AST Sports Science","100","ea","4.5","2.5","2.5","0.48","100 Caplets","12","Take one caplet twice dailyAM/PM.","Croscarmellose Sodium, Microcrystalline Cellulose, Magnesium Stearate.","Accidental overdose of iron-containing products is a leading cause of fatal poisoning in children under 6. Keep this product out of reach of children. In case of accidental overdose, call a doctor or poison control center immediately.","2009-08-25","http://www.ast-ss.com","http://www.europadatafeed.com/images/50/705077002123.gif","http://www.europadatafeed.com/images/250/705077002123.jpg","","http://www.europadatafeed.com/images/500/705077002123.jpg","705077002123","http://www.europadatafeed.com/images/100/705077002123.jpg"
"050168","027692207029","1000397","PWW3","PURE WHEY 45g WATERMELON 3oz12","PURE WHEY 45g WATERMELON 3oz12","Pure Whey Shot 45, Wild Watermelon","Liquid Protein. 45 Grams of Protein. Zero Sugar. Zero Fat.","Champion Nutrition","","Pure Whey Shot 45","Wild Watermelon","Champion Nutrition Pure Whey Shot 45","0","5","CHAMPION NUTRITION","Protein","Liquid Shot","35.07","53.95","","2008-09-05","","Yes","Yes","Yes","Yes","Yes","No","No","1301 Sawgrass Corporate Parkway, Sunrise, FL 33323","2008, Champion Nutrition","12","ea","6.75","7.5","5.75","3.95","12 - 3 fl oz (88 mL) Containers","4","Take one vial up to 3 times per day to supplement your daily protein intake.","Deionized water, Pure Whey Shot 45 Protein Blend [enzymatically hydrolyzed (predigested) collagenic protein isolate, whey protein isolate and casein protein isolate], malic acid, natural flavors, acesulfame-potassium, sodium bicarbonate, sucralose and blue 1.","Contains: milk","2009-04-17","http://www.championnutrition.com/","http://www.europadatafeed.com/images/50/027692207029.gif","http://www.europadatafeed.com/images/250/027692207029.jpg","","http://www.europadatafeed.com/images/500/027692207029.jpg","027692207029","http://www.europadatafeed.com/images/100/027692207029.jpg"
"010039","705077002574","1000216","GL3-1200","L-GLUTAMINE GL3 POWDER 1200GM","L-GLUTAMINE GL3 POWDER 1200GM","Micronized GL3 L-Glutamine","Strength; Size; Recovery. Glutamine represents over 63% of the amino acid content in the amino acid pool of your muscle cells. Intense training and exercise put greater demands on your body's needs for Glutamine, making it a conditionally essential amino acid. New Micronized GL3 750 represents a leap forward in Glutamine supplementation. GL3 uses a state-of-the-art Particle Micronization Technology (PMT). Each tiny particle of GL3 is 20 times smaller than regular Glutamine powder. This allows for ultra-fast absorption and utilization. Glutamine is the most common amino acid in the body and is key to the metabolism and maintenance of muscle tissue. Glutamine is also the highest concentrated amino acid in the muscle cell and acts as a primary shuttle for nitrogen from the bloodstream to inside the muscle cell. Glutamine has a multifaceted role in human nutrition and is essential for the support of muscle tissue and immune function.","AST Sports Science","","Micronized GL3 L-Glutamine","","AST Sports Science Micronized GL3 L-Glutamine","0","1","AST SPORTS SCIENCE","Sport Performance","Supplements","49.79","82.99","","2001-08-25","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","120 Capital Drive Golden, CO 80401","2009 AST Sports Science","1200","g","7.75","5.5","5.5","3","1200 g (42.33 oz)","4","As a dietary supplement mix 2 teaspoons (10 grams) in 6 to 8 oz of water or juice. Drink 1 serving 30 minutes before training and 1 serving 30 minutes after training.","","","2009-08-24","http://www.ast-ss.com","http://www.europadatafeed.com/images/50/705077002574.gif","http://www.europadatafeed.com/images/250/705077002574.jpg","","http://www.europadatafeed.com/images/500/705077002574.jpg","705077002574","http://www.europadatafeed.com/images/100/705077002574.jpg"
"010060","705077002789","1000211","GL3 525","L-GLUTAMINE GL3 POWDER 525GM","L-GLUTAMINE GL3 POWDER 525GM","GL3 L-Glutamine, Micronized","Dietary supplement. Strength. Size. Recovery. Micronized GL3 L -Glutamine represents a leap forward in glutamine supplementation. GL3 uses a state-of-art-Particle Micronization Technology (PMT). Each tiny particle of GL3 is 20 times smaller than regular glutamine powder. This allows for ultra-fast absorption and utilization. Glutamine represents over 63% of the amino acid content in the amino acid pool of muscle tissue. Intense training and exercise put greater demands on your body for glutamine, making it a conditionally essential amino acid. Glutamine is the most common amino acid in the body and is key to the metabolism and maintenance of muscle tissue. Glutamine is also the highest concentrated amino acid in the muscle cell and acts as a primary shuttle for nitrogen from the bloodstream to inside the muscle cell. Glutamine has a multifaceted role in human nutrition and is essential for the support of muscle tissue and immune function. (These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure or prevent any disease.) Made in USA.","AST Sports Science","","GL3 L-Glutamine","","AST Sports Science GL3 L-Glutamine","0","1","AST SPORTS SCIENCE","Sport Performance","Supplements","25.79","42.99","","2007-04-24","","Yes","Yes","Yes","Yes","Yes","Yes","No","120 Capital Drive Golden, CO 80401","2007 AST Sports Science","525","g","6.3","3.75","3.75","1.35","525 g (18.52 oz)","1","As a dietary supplement, mix 2 teaspoons (10 gram) in 6 to 8 oz of water or juice. Drink 1 serving 30 minutes before training and 1 serving 30 minutes after training.","","","2010-01-15","http://www.ast-ss.com","http://www.europadatafeed.com/images/50/705077002789.gif","http://www.europadatafeed.com/images/250/705077002789.jpg","","http://www.europadatafeed.com/images/500/705077002789.jpg","705077002789","http://www.europadatafeed.com/images/100/705077002789.jpg"
"010072","705077002673","1000206","","","CREATINE CM-750 500CAPS","CM-750, 500 Capsules","Lean Mass. Power. Strength. Easy-to-Swallow Capsules. CM750 Creatine Caps from AST Sports Science delivers you an advanced micronized creatine formula in ultra-convenient easy to take capsules. Creatine, a nitrogenous organic acid is a component of skeletal muscle tissue and is phosphorylated to store energy used for muscular contraction. Creatine monohydrate has been shown in hundreds of scientific studies to help increase muscle size, strength, and endurance. CM750 Creatine Caps allows you to get the power of research-proven muscle-building effects of micronized creatine without inconvenience and time consuming task of mixing up a drink. Just take a few capsules at your convenience, quickly and easily, for powerful muscle-building effects. AST Sports Science brings you the purest, highest quality creatine in an advanced encapsulated micronized formula for pure muscle building power.","AST Sports Science","","CM-750","","AST Sports Science CM-750","0","1","AST SPORTS SCIENCE","Creatine","Supplements","23.66","39.44","","2011-06-09","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","120 Capital Drive Golden, CO 80401","2008 AST Sports Science, Inc. Made in USA","500","ea","6.25","3.75","3.75","1.2","500 Capsules","6","Take 4 capsules two to four times daily. For best results, take 30 minutes before and immediately after your workout.","","","2011-08-24","http://www.ast-ss.com","http://www.europadatafeed.com/images/50/705077002673.gif","http://www.europadatafeed.com/images/250/705077002673.jpg","","http://www.europadatafeed.com/images/500/705077002673.jpg","705077002673","http://www.europadatafeed.com/images/100/705077002673.jpg"
"040133","791083003414","1000682","59195","MYO LITE BAR PNUT CRML CRSP 12","MYO LITE BAR PNUT CRML CRSP 12","Nutrition Bar, Peanut Caramel Crisp","MYOPLEX LITE, 50% Less Fat. 15g High Quality Protein. Natural and Artificial Flavored. Contains 50% less fat than Myoplex Mass Bar; Myoplex Let Bar &#150; 6g fat; Myoplex Mass Bar &#150; 12g fat per 54gDON'T WASTE YOUR WORKOUT: Post Workout: 30 Minutes or Less, 2 Hours or More. Taken within 30 minutes after your workout, the 15g of high quality protein in Myoplex Lite helps you refuel and build lean muscle.Visit EAS.com or call 1-800-297-9776 to learn how EAS can help you achieve your athletic or fitness goals. EAS Energy Athletics Strength, is a pioneer in sports nutrition products for athletes and fitness enthusiasts. Recognizing these advances in sports nutrition, today thousands of professional athletes and fitness enthusiasts in over 50 countries choose EAS to help satisfy their nutritional needs.","EAS","Myoplex Lite","Nutrition Bar","Peanut Caramel Crisp","EAS Myoplex Lite Nutrition Bar","0","4","EAS","Energy","Bars","21","34.95","","2004-08-04","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Columbus, OH 43215-1724","2008 Abbott Nutrition","12","ea","3.0","5.52","7.3","1.8","12 - 1.90 oz (54 g) bars 1 lb [7 oz (648g)]","3","","MyoPro Protein Blend (Soy Protein Isolate, Whey Protein Isolate), Polydextrose, Fructose, Sugar, Rice Flour, Water, Peanuts, Fractionated Palm Kernel Oil, High Fructose Corn Syrup, Roasted Soy Beans, Corn Syrup, Ground Peanuts, Vitamin and Mineral Blend (Calcium Phosphate, Potassium Phosphate, Magnesium Oxide, Potassium Chloride, Ascorbic Acid, Ferric Orthophosphate, dl-Alpha-Tocopherol Acetate, Niacinamide, Calcium Pantothenate, Zinc Oxide, Chromium Citrate, Copper Gluconate, Vitamin A Palmitate, Pyridoxine Hydrochloride, Riboflavin, Thiamin Mononitrate, Folic Acid, Biotin, Potassium Iodide, Cyanocobalamin), Nonfat Milk. Contains less than 2% of the following: Fructooligosaccharides, Natural and Artificial Flavors, (Includes Sesame Oil, Sweetened Condensed Milk (Milk, Sugar), Evaporated Milk (Milk, Dipotassium Phosphate, Carrageenan, Vitamin D3), Butter, (Cream, Natural Flavor, Lactose, Cocoa (Processed with Alkali), Milk, Barley Malt Extract, Caramel Color, Dextrose,Salt, Soy Lecithin,Whey, Partially Hydrogenated Vegetable Oil (Soybean, Cottonseed, Or Palm Kernel), Cream, Mono-And Diglycerides, Corn Maltodextrin, Sodium Phosphate.","Contains Milk, Soy And Peanuts Ingredients. Manufactured In A Facility That Processes Tree Nuts, Eggs And Wheat.","2010-01-15","http://www.eas.com","http://www.europadatafeed.com/images/50/791083003414.gif","http://www.europadatafeed.com/images/250/791083003414.jpg","","http://www.europadatafeed.com/images/500/791083003414.jpg","791083003414","http://www.europadatafeed.com/images/100/791083003414.jpg"
"040208","00791083006057","1000688","59135","MYO LITE RTD FR VAN 11OZ 24CS","MYO LITE RTD FR VAN 11OZ 24CS","Nutrition Shake RTD, French Vanilla","EAS: MYOPLEX LITE. 55% Less Fat , 20g High quality Protein. Naturally & Artificially Flavored. EAS Energy Athletics Strength, is a pioneer in sports nutrition products for athletes and fitness enthusiasts. Recognizing these advances in sports nutrition, today thousands of professional athletes and fitness enthusiasts in over 50 countries choose EAS to help satisfy their nutritional needs. Research supports that eating six smaller meals a day can jump start your metabolism and sustain higher energy levels. Supplementing up to two of these meals with Myoplex bars and shakes is a convenient, great-tasting way to get protein and other nutrients to help your body perform at its best. DON'T WASTE YOUR WORKOUT: 30 Minutes or Less; 2 Hours or More. Taken within 30minutes after you workout, the 20g of high quality protein in Myoplex Lite helps you refuel and build lean muscle.Visit EAS.com or call 1-800-297-9776 to learn how EAS can help you achieve your athletic or fitness goals.","EAS","Myoplex Lite","Nutrition Shake RTD","French Vanilla","EAS Myoplex Lite Nutrition Shake RTD","0","4","EAS","Protein","Drinks","41.25","69.95","","2004-08-04","","Yes","No","No","Yes","Yes","No","Yes","Columbus, OH 43219-1724 USA","2008 Abbott Laboratories","24","ea","5.3","14.2","9.8","19.95","24 - (6x4 Pack) [11 fl oz (330 ml)]","1","","Filtered Water, MyoPro Protein Blend (Milk Protein Concentrate, Soy Protein Isolate and Calcium Caseinate), Corn Maltodextrin, Less Than 2% Of: Fructooligosaccharides, High Oleic Sunflower Oil, Natural and Artificial Flavor, Vitamin and Mineral Blend (Magnesium Phosphate, Potassium Citrate, Sodium Ascorbate, Vitamin A Palmitate, Beta-Carotene, Vitamin D3, Dl-Alpha-Tocopheryl Acetate, Niacinamide, Zinc Gluconate, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin, Manganese Gluconate, Thiamin Hydrochloride, Folic Acid, Biotin, Chromium Chloride, Potassium Iodide, Phytonadione, Sodium Molybdate, Sodium Selenite, Cyanocobalamin), Cottonseed Fiber, Sodium Hexametaphosphate, Sucralose.Acesulfame Potassium and Carrageenan.","Contains Milk and Soy Ingredients.","2010-01-18","http://www.eas.com","http://www.europadatafeed.com/images/50/791083004435.gif","http://www.europadatafeed.com/images/250/791083004435.jpg","","http://www.europadatafeed.com/images/500/791083004435.jpg","791083004435","http://www.europadatafeed.com/images/100/791083004435.jpg"
"040285","791083007429","1000665","59206","100% WHEY VANILLA 5LB","100% WHEY VANILLA 5LB","100% Whey Protein, Vanilla","Dietary Supplement. 100% of the Protein in this product comes from whey. 23 grams of High quality protein. Only 2 grams of carbohydrates. High concentration of BCAAs. Naturally & artificially flavored. When it comes to picking up the perfect protein to support optimal muscle growth and peak performance, you don't need a bunch of marketing hype and empty promises. What you need is a great-tasting, pure protein product of the very highest quality from a company you can trust. And with 100% Whey Protein from EAS, that's exactly what you get! Here's Why: 100% Whey Protein is pure, instantized whey protein processed through a series of low-temperature micro- and ultra-filtration steps, producing the cleanest, most intact form of whey protein available. This careful processing means that 100% Whey Protein is designed to provide the highest biological value protein available from any single protein source. It also means that the greatest possible concentration of bioactive microfractions is preserved. These microfractions are vital for promoting whey protein's famed immune enhancing effects. (References-Bounous, G and Gold, P., The biological activity of undenatured dietary whey proteins: role of glutathione. Clinical Investigative Medicine 14 (1991): 296-309.) Pure, clean whey protein is also absorbed into your body faster than any other protein, a benefit that has been demonstrated in research to enhance protein synthesis (muscle growth) by as much as 68%. (References-Boirie, Y et al., Slow and fast dietary proteins differently modulate postprandial protein accretion. Proc Natl Acad Sci USA 94 (1997): 14930-14935.) 100% Whey Protein also contains the highest naturally occurring levels of branched chain amino acids (BCAAs), shown in research to help muscles recuperate more quickly from strenuous exercise. (References-Blomstrand, E. and Saltin, B., BCAA intake effects protein metabolism in muscle after but not during exercise in humans. Am J Physiol Endocrinol Metab 2001 Aug; 281 (2): E365-74.) Finally, a protein supplement that works as hard as you do-100% Whey Protein by EAS. (These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.)","EAS","","100% Whey Protein","Vanilla","EAS 100% Whey Protein","0","4","EAS","Protein","Supplements","43.46","84.95","","2005-05-17","","Yes","Yes","Yes","Yes","Yes","Yes","No","555 Corporate Circle Golden, CO 80401","2005 EAS, Inc.","5","lb","11.6","7.7","7.7","5.2","5 lbs (2.27 kg)","4","Recommended Use: As a dietary supplement, mix 1 scoop with 6-8 ounces of cold water, milk, or blend with your favorite Myoplex shake. For best results, consume 1-4 servings daily. To support positive nitrogen balance, serious athletes should consume approximately 1 gram of protein per pound of body weight spread over 4-6 small meals per day. Example: 200 lb x 1 g Protein/lb Bodyweight = 200g/Day.","Protein Blend (Whey Protein Concentrate and Whey Protein Isolate), Natural and Artificial Flavors, Citric Acid, Acesulfame Potassium, Sucralose (Splenda Brand) and Red No. 40.","","2010-01-08","http://www.eas.com","http://www.europadatafeed.com/images/50/791083007429.gif","http://www.europadatafeed.com/images/250/791083007429.jpg","","http://www.europadatafeed.com/images/500/791083007429.jpg","791083007429","http://www.europadatafeed.com/images/100/791083007429.jpg"
"040341","791083564496","1000665","56448","100% WHEY CHOCOLATE 2LB","100% WHEY CHOCOLATE 2LB","100% Whey Protein, Chocolate","23 grams of high quality protein. BCAAs to Support Muscle Recovery and Growth. 3g Total Carbs. Mixes Easily. Protein is one of the fuels that help make athletes go. So to help support peak performance and optimal muscle growth, the protein you put in your body needs to be pure, of the highest quality, and from a company you can trust. Wheat you need is great-tasting EAS 100% Whey Protein. EAS 100% Whey Protein is naturally abundant in branched chain amino acids (BCAAs). Research shows BCAAs help muscle recuperate after strenuous exercise and support muscle protein synthesis, when used in conjunction with a balanced diet. The protein in EAS 100% Whey Protein is isolated through a series of micro-and ultra-filtration steps and is ""instantized"" for ease of mixability. This produces a high biological value protein, which mixes easily into water or your favorite beverage. A protein supplement that works as hard as you do- EAS 100% Whey Protein. When compared to other milk-sources protein, whey protein leads the pack. Its absorption rate and digestibility give whey protein the highest quality milk-sourced protein profile. Lighter bottle uses 12% less plastic than the previous 100% EAS Whey Protein bottle. Same 2lb of product. 100% of the protein in this product comes from whey. EAS, Energy, Athletics, Strength, is a pioneer in sports nutrition products for athletes and fitness enthusiast. Recognizing these advances in sports nutrition, today thousands of professional athletes and fitness enthusiast in over 50 countries choose EAS to help satisfy their nutritional needs.","EAS","","100% Whey Protein","Chocolate","EAS 100% Whey Protein","0","4","EAS","Protein","Supplements","19.67","39.95","","2011-03-15","","Yes","Yes","No","Yes","Yes","Yes","No","Columbus, Ohio 43215-1724","2010 Abbot Laboratories","2","lb","7.75","6.0","6.0","2.5","2 lb (907g)","4","Combine 1 scoop with 6-8 fl oz of cold water, milk, or your favorite beverage and mix for 20-30 seconds in a shaker, blender. For best results, consume 1-3 servings daily depending on your protein needs, with one serving within 60 minutes of a workout.","Whey Protein Concentrate (Whey Protein Concentrate, Soy lecithin), Whey Protein Isolate, Cocoa Powder (processed with Alkali), Natural and Artificial Flavors, Acesulfame Potassium and Sucralose.","Contains milk and soy ingredients. Manufactured in a facility that processes peanut ingredients.","2011-04-11","http://www.eas.com","http://www.europadatafeed.com/images/50/791083564496.gif","http://www.europadatafeed.com/images/250/791083564496.jpg","","http://www.europadatafeed.com/images/500/791083564496.jpg","791083564496","http://www.europadatafeed.com/images/100/791083564496.jpg"
"040701","638102201058","1000668","57975","ZONE BAR CHOC PB 12/ BOX","ZONE BAR CHOC PB 12/ BOX","All Natural Nutrition Bar, Chocolate Peanut Butter","Classic Zone Perfect. All-Natural Nutrition Bars, Excellent source of Protein (14 g), 19 Vitamins and Minerals, Rich in Antioxidants Vitamins C and E, and Selenium. Chocolate Peanut Butter with other natural flavors. Chocolate and Peanut Butter. There's a rich history behind this great taste duo. Mayan kings honored their decorated soldiers and citizens with chocolate. Peruvian royalty so loved peanut butter, they took it to their tombs. In this very box-kind of like a little palace built to enshine and honor great taste-you can savor the peanut butter and chocolate that Mayan or Peruvian kings could only imagine. Today you don't have to be an archaeologist to find balanced nutrition that includes 14 grams of hunger-satisfying protein. It's right inside this palace, we mean, box inside our ZonePerfect Chocolate Peanut Butter Nutrition Bars. We don't know if the Mayans and Peruvians ever bumped into each other, but you'll be glad our chocolate and peanut butter did. Great taste guaranteed or your money back.","EAS","Zone Perfect","All Natural Nutrition Bar","Chocolate Peanut Butter","EAS Zone Perfect All Natural Nutrition Bar","0","4","EAS","Meal Replacements","Bars","13.66","19.08","","2006-07-05","","Yes","Yes","Yes","Yes","Yes","Yes","No","Columbus, OH 43215","2009 Abbott Laboratories","12","ea","1.75","5.5","9.75","1.5","12 - 1.76 oz (50 g) bar [1.32 lb (600 g)]","12","For maximum shelf life, keep ZonePerfect Nutrition Bars below 75 degrees.","Soy Protein Nuggets (Soy Protein Isolate, Tapioca Starch, Salt), Peanut Butter Fudge (Corn Syrup, Peanut Butter, Invert Sugar, Sugar, Palm Kernel Oil, Milk Protein, Soy Lecithin, Xanthan Gum, Carob Seed Gum, Salt, Natural Caramel Color, Beta-Carotene, Vanilla Extract, Peanut Oil with other Natural Flavors), Chocolate Flavored Coating (Sugar, Fractionated Palm Kernel Oil, Cocoa Powder, Whey Powder, Nonfat Milk Powder, Soy Lecithin, Natural Vanilla Flavor), Corn Syrup, Acacia Gum, Fructose Syrup, Peanut Butter, Peanut Flour, Peanuts. Less than 2% of the Following: Glycerine, Soy Protein Isolate, Natural Flavor, Salt. Vitamins and Minerals: Calcium Phosphate, Ascorbic Acid, d-Alpha-Tocopheryl-Acetate, Magnesium Oxide, Niacinamide, Zinc Oxide, Calcium Pantothenate, Ferrous Fumarate, Pyridoxine Hydrochloride, Vitamin A Palmitate, Riboflavin, Thiamine Mononitrate, Folic Acid, Chromium Chloride, Biotin, ), Sodium Selenite, Sodium Molybdate, Cyanocobalamin.","Contains soy, peanut and milk ingredients, manufactured in a facility that processes eggs, tree nuts and wheat.","2010-01-15","http://www.eas.com","http://www.europadatafeed.com/images/50/638102201058.gif","http://www.europadatafeed.com/images/250/638102201058.jpg","","http://www.europadatafeed.com/images/500/638102201058.jpg","638102201058","http://www.europadatafeed.com/images/100/638102201058.jpg"
